ring,abundance,species,co2,date,abundance_m2,abundance_30days
1,0.25,Glycaspis,elevated,Dec-14,1.26326425,1.403626944
1,2,Glycaspis,elevated,Sep-14,10.106114,10.45460069
1,1.125,Glycaspis,elevated,Jul-14,5.684689125,8.120984464
1,2.25,Glycaspis,elevated,Jun-14,11.36937825,9.745181357
1,290,Glycaspis,elevated,Mar-14,1465.38653,2747.599744
1,2.875,Glycaspis,elevated,Dec-13,14.52753888,15.02848849
1,12.25,Glycaspis,elevated,Sep-13,61.89994825,66.32137313
1,104.875,Glycaspis,elevated,Jun-13,529.9393529,496.8181433
1,0.625,Glycaspis,elevated,Mar-13,3.158160625,4.30658267
1,11,Glycaspis,elevated,Dec-12,55.583627,59.55388607
1,6.625,Cardiospina,elevated,Dec-14,33.47650263,37.19611403
1,1.75,Cardiospina,elevated,Sep-14,8.84284975,9.147775603
1,1,Cardiospina,elevated,Jul-14,5.053057,7.218652857
1,1.125,Cardiospina,elevated,Jun-14,5.684689125,4.872590679
1,0,Cardiospina,elevated,Mar-14,0,0
1,0.75,Cardiospina,elevated,Dec-13,3.78979275,3.920475259
1,0.375,Cardiospina,elevated,Sep-13,1.894896375,2.030246116
1,0.75,Cardiospina,elevated,Jun-13,3.78979275,3.552930703
1,0,Cardiospina,elevated,Mar-13,0,0
1,0.25,Cardiospina,elevated,Dec-12,1.26326425,1.353497411
1,0.375,Spondyliaspis,elevated,Dec-14,1.894896375,2.105440417
1,5,Spondyliaspis,elevated,Sep-14,25.265285,26.13650172
1,3.75,Spondyliaspis,elevated,Jul-14,18.94896375,27.06994821
1,6.625,Spondyliaspis,elevated,Jun-14,33.47650263,28.69414511
1,0.25,Spondyliaspis,elevated,Mar-14,1.26326425,2.368620469
1,0.625,Spondyliaspis,elevated,Dec-13,3.158160625,3.267062716
1,3.5,Spondyliaspis,elevated,Sep-13,17.6856995,18.94896375
1,5.375,Spondyliaspis,elevated,Jun-13,27.16018138,25.46267004
1,0,Spondyliaspis,elevated,Mar-13,0,0
1,0,Spondyliaspis,elevated,Dec-12,0,0
2,0.125,Glycaspis,ambient,Dec-14,0.631632125,0.701813472
2,1.5,Glycaspis,ambient,Sep-14,7.5795855,7.840950517
2,4.125,Glycaspis,ambient,Jul-14,20.84386013,29.77694304
2,4.125,Glycaspis,ambient,Jun-14,20.84386013,17.86616582
2,756.375,Glycaspis,ambient,Mar-14,3822.005988,7166.261228
2,2.75,Glycaspis,ambient,Dec-13,13.89590675,14.37507595
2,22.125,Glycaspis,ambient,Sep-13,111.7988861,119.7845208
2,52.125,Glycaspis,ambient,Jun-13,263.3905961,246.9286839
2,0.875,Glycaspis,ambient,Mar-13,4.421424875,6.029215739
2,14.375,Glycaspis,ambient,Dec-12,72.63769438,77.82610112
2,26.125,Cardiospina,ambient,Dec-14,132.0111141,146.6790157
2,0.875,Cardiospina,ambient,Sep-14,4.421424875,4.573887802
2,3.875,Cardiospina,ambient,Jul-14,19.58059588,27.97227982
2,3.125,Cardiospina,ambient,Jun-14,15.79080313,13.53497411
2,0.25,Cardiospina,ambient,Mar-14,1.26326425,2.368620469
2,1.5,Cardiospina,ambient,Dec-13,7.5795855,7.840950517
2,0.375,Cardiospina,ambient,Sep-13,1.894896375,2.030246116
2,0.75,Cardiospina,ambient,Jun-13,3.78979275,3.552930703
2,0,Cardiospina,ambient,Mar-13,0,0
2,0.75,Cardiospina,ambient,Dec-12,3.78979275,4.060492232
2,1.375,Spondyliaspis,ambient,Dec-14,6.947953375,7.719948194
2,8.375,Spondyliaspis,ambient,Sep-14,42.31935238,43.77864039
2,6.875,Spondyliaspis,ambient,Jul-14,34.73976688,49.62823839
2,8.5,Spondyliaspis,ambient,Jun-14,42.9509845,36.81512957
2,0.75,Spondyliaspis,ambient,Mar-14,3.78979275,7.105861406
2,2,Spondyliaspis,ambient,Dec-13,10.106114,10.45460069
2,7,Spondyliaspis,ambient,Sep-13,35.371399,37.8979275
2,4.875,Spondyliaspis,ambient,Jun-13,24.63365288,23.09404957
2,0.125,Spondyliaspis,ambient,Mar-13,0.631632125,0.861316534
2,0.25,Spondyliaspis,ambient,Dec-12,1.26326425,1.353497411
3,0.625,Glycaspis,ambient,Dec-14,3.158160625,3.509067361
3,1.25,Glycaspis,ambient,Sep-14,6.31632125,6.534125431
3,1.625,Glycaspis,ambient,Jul-14,8.211217625,11.73031089
3,3.625,Glycaspis,ambient,Jun-14,18.31733163,15.70056996
3,588,Glycaspis,ambient,Mar-14,2971.197516,5570.995343
3,6,Glycaspis,ambient,Dec-13,30.318342,31.36380207
3,22.125,Glycaspis,ambient,Sep-13,111.7988861,119.7845208
3,27.625,Glycaspis,ambient,Jun-13,139.5906996,130.8662809
3,1.125,Glycaspis,ambient,Mar-13,5.684689125,7.751848807
3,6.5,Glycaspis,ambient,Dec-12,32.8448705,35.19093268
3,18.625,Cardiospina,ambient,Dec-14,94.11318663,104.5702074
3,5,Cardiospina,ambient,Sep-14,25.265285,26.13650172
3,17.25,Cardiospina,ambient,Jul-14,87.16523325,124.5217618
3,10.625,Cardiospina,ambient,Jun-14,53.68873063,46.01891196
3,2.125,Cardiospina,ambient,Mar-14,10.73774613,20.13327398
3,3.125,Cardiospina,ambient,Dec-13,15.79080313,16.33531358
3,0.625,Cardiospina,ambient,Sep-13,3.158160625,3.383743527
3,0.375,Cardiospina,ambient,Jun-13,1.894896375,1.776465352
3,0,Cardiospina,ambient,Mar-13,0,0
3,0,Cardiospina,ambient,Dec-12,0,0
3,1.25,Spondyliaspis,ambient,Dec-14,6.31632125,7.018134722
3,2,Spondyliaspis,ambient,Sep-14,10.106114,10.45460069
3,5.125,Spondyliaspis,ambient,Jul-14,25.89691713,36.99559589
3,5.5,Spondyliaspis,ambient,Jun-14,27.7918135,23.82155443
3,0.75,Spondyliaspis,ambient,Mar-14,3.78979275,7.105861406
3,3.875,Spondyliaspis,ambient,Dec-13,19.58059588,20.25578884
3,7.875,Spondyliaspis,ambient,Sep-13,39.79282388,42.63516844
3,4,Spondyliaspis,ambient,Jun-13,20.212228,18.94896375
3,0,Spondyliaspis,ambient,Mar-13,0,0
3,0.25,Spondyliaspis,ambient,Dec-12,1.26326425,1.353497411
4,0.25,Glycaspis,elevated,Dec-14,1.26326425,1.403626944
4,1.125,Glycaspis,elevated,Sep-14,5.684689125,5.880712888
4,1.375,Glycaspis,elevated,Jul-14,6.947953375,9.925647679
4,3.875,Glycaspis,elevated,Jun-14,19.58059588,16.78336789
4,215.75,Glycaspis,elevated,Mar-14,1090.197048,2044.119465
4,3.5,Glycaspis,elevated,Dec-13,17.6856995,18.29555121
4,14.375,Glycaspis,elevated,Sep-13,72.63769438,77.82610112
4,9.375,Glycaspis,elevated,Jun-13,47.37240938,44.41163379
4,0,Glycaspis,elevated,Mar-13,0,0
4,7.75,Glycaspis,elevated,Dec-12,39.16119175,41.95841973
4,15.375,Cardiospina,elevated,Dec-14,77.69075138,86.32305708
4,1.75,Cardiospina,elevated,Sep-14,8.84284975,9.147775603
4,7.25,Cardiospina,elevated,Jul-14,36.63466325,52.33523321
4,3.375,Cardiospina,elevated,Jun-14,17.05406738,14.61777204
4,1.125,Cardiospina,elevated,Mar-14,5.684689125,10.65879211
4,2.125,Cardiospina,elevated,Dec-13,10.73774613,11.10801323
4,0.5,Cardiospina,elevated,Sep-13,2.5265285,2.706994821
4,0.5,Cardiospina,elevated,Jun-13,2.5265285,2.368620469
4,0,Cardiospina,elevated,Mar-13,0,0
4,0.125,Cardiospina,elevated,Dec-12,0.631632125,0.676748705
4,0.75,Spondyliaspis,elevated,Dec-14,3.78979275,4.210880833
4,2.125,Spondyliaspis,elevated,Sep-14,10.73774613,11.10801323
4,4.375,Spondyliaspis,elevated,Jul-14,22.10712438,31.58160625
4,4.375,Spondyliaspis,elevated,Jun-14,22.10712438,18.94896375
4,1.375,Spondyliaspis,elevated,Mar-14,6.947953375,13.02741258
4,1.75,Spondyliaspis,elevated,Dec-13,8.84284975,9.147775603
4,4.375,Spondyliaspis,elevated,Sep-13,22.10712438,23.68620469
4,3,Spondyliaspis,elevated,Jun-13,15.159171,14.21172281
4,0,Spondyliaspis,elevated,Mar-13,0,0
4,0.625,Spondyliaspis,elevated,Dec-12,3.158160625,3.383743527
5,0.5,Glycaspis,elevated,Dec-14,2.5265285,2.807253889
5,1,Glycaspis,elevated,Sep-14,5.053057,5.227300345
5,1.5,Glycaspis,elevated,Jul-14,7.5795855,10.82797929
5,1.375,Glycaspis,elevated,Jun-14,6.947953375,5.955388607
5,248.625,Glycaspis,elevated,Mar-14,1256.316297,2355.593056
5,8.5,Glycaspis,elevated,Dec-13,42.9509845,44.43205293
5,19.875,Glycaspis,elevated,Sep-13,100.4295079,107.6030442
5,38.5,Glycaspis,elevated,Jun-13,194.5426945,182.3837761
5,0.25,Glycaspis,elevated,Mar-13,1.26326425,1.722633068
5,11.125,Glycaspis,elevated,Dec-12,56.21525913,60.23063478
5,19.5,Cardiospina,elevated,Dec-14,98.5346115,109.4829017
5,5.5,Cardiospina,elevated,Sep-14,27.7918135,28.7501519
5,5.125,Cardiospina,elevated,Jul-14,25.89691713,36.99559589
5,6.25,Cardiospina,elevated,Jun-14,31.58160625,27.06994821
5,2.25,Cardiospina,elevated,Mar-14,11.36937825,21.31758422
5,1.125,Cardiospina,elevated,Dec-13,5.684689125,5.880712888
5,0,Cardiospina,elevated,Sep-13,0,0
5,0.5,Cardiospina,elevated,Jun-13,2.5265285,2.368620469
5,0,Cardiospina,elevated,Mar-13,0,0
5,0.375,Cardiospina,elevated,Dec-12,1.894896375,2.030246116
5,0.375,Spondyliaspis,elevated,Dec-14,1.894896375,2.105440417
5,3.125,Spondyliaspis,elevated,Sep-14,15.79080313,16.33531358
5,3.375,Spondyliaspis,elevated,Jul-14,17.05406738,24.36295339
5,2.75,Spondyliaspis,elevated,Jun-14,13.89590675,11.91077721
5,0.5,Spondyliaspis,elevated,Mar-14,2.5265285,4.737240938
5,2,Spondyliaspis,elevated,Dec-13,10.106114,10.45460069
5,4.625,Spondyliaspis,elevated,Sep-13,23.37038863,25.0397021
5,7.375,Spondyliaspis,elevated,Jun-13,37.26629538,34.93715191
5,0,Spondyliaspis,elevated,Mar-13,0,0
5,0.125,Spondyliaspis,elevated,Dec-12,0.631632125,0.676748705
6,0,Glycaspis,ambient,Dec-14,0,0
6,3,Glycaspis,ambient,Sep-14,15.159171,15.68190103
6,2,Glycaspis,ambient,Jul-14,10.106114,14.43730571
6,3.75,Glycaspis,ambient,Jun-14,18.94896375,16.24196893
6,487.125,Glycaspis,ambient,Mar-14,2461.470391,4615.256983
6,9,Glycaspis,ambient,Dec-13,45.477513,47.0457031
6,50.375,Glycaspis,ambient,Sep-13,254.5477464,272.7297283
6,49.125,Glycaspis,ambient,Jun-13,248.2314251,232.7169611
6,0.125,Glycaspis,ambient,Mar-13,0.631632125,0.861316534
6,6,Glycaspis,ambient,Dec-12,30.318342,32.48393786
6,30.5,Cardiospina,ambient,Dec-14,154.1182385,171.2424872
6,38.875,Cardiospina,ambient,Sep-14,196.4375909,203.2113009
6,19.375,Cardiospina,ambient,Jul-14,97.90297938,139.8613991
6,21,Cardiospina,ambient,Jun-14,106.114197,90.955026
6,6.375,Cardiospina,ambient,Mar-14,32.21323838,60.39982195
6,3.125,Cardiospina,ambient,Dec-13,15.79080313,16.33531358
6,0,Cardiospina,ambient,Sep-13,0,0
6,0.75,Cardiospina,ambient,Jun-13,3.78979275,3.552930703
6,0,Cardiospina,ambient,Mar-13,0,0
6,0.125,Cardiospina,ambient,Dec-12,0.631632125,0.676748705
6,0,Spondyliaspis,ambient,Dec-14,0,0
6,4.125,Spondyliaspis,ambient,Sep-14,20.84386013,21.56261392
6,7.125,Spondyliaspis,ambient,Jul-14,36.00303113,51.43290161
6,4.25,Spondyliaspis,ambient,Jun-14,21.47549225,18.40756479
6,0.25,Spondyliaspis,ambient,Mar-14,1.26326425,2.368620469
6,2.625,Spondyliaspis,ambient,Dec-13,13.26427463,13.72166341
6,9,Spondyliaspis,ambient,Sep-13,45.477513,48.72590679
6,6.125,Spondyliaspis,ambient,Jun-13,30.94997413,29.01560074
6,0.125,Spondyliaspis,ambient,Mar-13,0.631632125,0.861316534
6,0,Spondyliaspis,ambient,Dec-12,0,0
1,13.875,Glycaspis,elevated,Jan-13,70.11116588,70.11116588
1,0.375,Cardiospina,elevated,Jan-13,1.894896375,1.894896375
1,0,Spondyliaspis,elevated,Jan-13,0,0
1,11.375,Glycaspis,elevated,Nov-12,57.47852338,50.71634415
1,0.375,Cardiospina,elevated,Nov-12,1.894896375,1.67196739
1,0.125,Spondyliaspis,elevated,Nov-12,0.631632125,0.557322463
2,21.5,Glycaspis,ambient,Jan-13,108.6407255,108.6407255
2,0.125,Cardiospina,ambient,Jan-13,0.631632125,0.631632125
2,0.375,Spondyliaspis,ambient,Jan-13,1.894896375,1.894896375
2,22.375,Glycaspis,ambient,Nov-12,113.0621504,99.76072092
2,0.375,Cardiospina,ambient,Nov-12,1.894896375,1.67196739
2,0.125,Spondyliaspis,ambient,Nov-12,0.631632125,0.557322463
3,9.75,Glycaspis,ambient,Jan-13,49.26730575,49.26730575
3,0,Cardiospina,ambient,Jan-13,0,0
3,0.125,Spondyliaspis,ambient,Jan-13,0.631632125,0.631632125
3,5.125,Glycaspis,ambient,Nov-12,25.89691713,22.85022099
3,0,Cardiospina,ambient,Nov-12,0,0
3,0,Spondyliaspis,ambient,Nov-12,0,0
4,7,Glycaspis,elevated,Jan-13,35.371399,35.371399
4,0.25,Cardiospina,elevated,Jan-13,1.26326425,1.26326425
4,0.625,Spondyliaspis,elevated,Jan-13,3.158160625,3.158160625
4,8.75,Glycaspis,elevated,Nov-12,44.21424875,39.01257243
4,0.375,Cardiospina,elevated,Nov-12,1.894896375,1.67196739
4,0,Spondyliaspis,elevated,Nov-12,0,0
5,19.5,Glycaspis,elevated,Jan-13,98.5346115,98.5346115
5,0,Cardiospina,elevated,Jan-13,0,0
5,0.25,Spondyliaspis,elevated,Jan-13,1.26326425,1.26326425
5,7.5,Glycaspis,elevated,Nov-12,37.8979275,33.43934779
5,0.25,Cardiospina,elevated,Nov-12,1.26326425,1.114644926
5,0,Spondyliaspis,elevated,Nov-12,0,0
6,15.375,Glycaspis,ambient,Jan-13,77.69075138,77.69075138
6,0,Cardiospina,ambient,Jan-13,0,0
6,0.125,Spondyliaspis,ambient,Jan-13,0.631632125,0.631632125
6,5.5,Glycaspis,ambient,Nov-12,27.7918135,24.52218838
6,0.25,Cardiospina,ambient,Nov-12,1.26326425,1.114644926
6,0.25,Spondyliaspis,ambient,Nov-12,1.26326425,1.114644926
